date_added,title,doc_type,level,status,domain_tags,key_date,source_url,summary,relevance_note
2026-07-14,"Affordable Care Act (ACA)",enacted_statute,federal,in_effect,"Coverage & Insurance Markets;Public Programs","2010-03-23",https://www.congress.gov/bill/111th-congress/house-bill/3590,"Example row — replace with your own research. Foundational federal law establishing ACA marketplaces, Medicaid expansion option, and related insurance market reforms.","Baseline reference point for most coverage-related tracking."
2026-07-14,"No Surprises Act",enacted_statute,federal,in_effect,"Price Transparency & Billing","2022-01-01",https://www.cms.gov/nosurprises,"Example row — replace with your own research. Restricts surprise out-of-network medical billing and establishes an independent dispute resolution process.","Core reference for billing/transparency tracking."
2026-07-14,"Inflation Reduction Act — Medicare Drug Price Negotiation Program (First Cycle, IPAY 2026)",enacted_statute,federal,in_effect,Drug Pricing & Pharma;Public Programs,2026-01-01,https://www.cms.gov/newsroom/fact-sheets/medicare-drug-price-negotiation-program-negotiated-prices-initial-price-applicability-year-2026,"Under IRA Section 11001 (P.L. 117-169), CMS negotiated Medicare Part D ""maximum fair prices"" for the first 10 selected drugs (Eliquis, Jardiance, Xarelto, Januvia, Farxiga, Entresto, Enbrel, Imbruvica, Stelara, NovoLog/Fiasp). Negotiated prices took effect January 1, 2026, with CMS estimating about 22% lower net Medicare spending on these drugs versus 2023 baseline prices.",First real-world application of Medicare's new drug price negotiation authority; sets the template for future negotiation cycles.
2026-07-14,"Medicare Drug Price Negotiation Program — Second Cycle (IPAY 2027, 15 Drugs)",agency_guidance,federal,final,Drug Pricing & Pharma;Public Programs,2027-01-01,https://www.cms.gov/initiatives/medicare-prescription-drug-affordability/overview/medicare-drug-price-negotiation-program/selected-drugs-negotiated-prices,"CMS reached agreement with manufacturers on negotiated maximum fair prices for 15 additional Part D drugs, including the Ozempic/semaglutide family, covering about 5.3 million beneficiaries and $42.5 billion in 2024 Part D spending. Prices are finalized but do not take effect until January 1, 2027.",Confirms the negotiation program is scaling on schedule under the IRA; second data point for tracking realized savings.
2026-07-14,"IRA Medicare Part D Benefit Redesign — $2,000 Annual Out-of-Pocket Cap",enacted_statute,federal,in_effect,Drug Pricing & Pharma;Public Programs,2025-01-01,https://www.cms.gov/newsroom/fact-sheets/inflation-reduction-act-lowers-health-care-costs-millions-americans,"IRA Section 11202 restructured the Part D benefit into a three-phase design (deductible, initial coverage, catastrophic), eliminated the coverage-gap ""donut hole,"" and capped enrollee out-of-pocket drug costs at $2,000/year, indexed annually ($2,100 for CY2026). Enrollees may also spread costs in equal monthly installments via the Medicare Prescription Payment Plan.","Already-realized consumer affordability change, distinct from and often conflated with the negotiation program."
2026-07-14,Executive Order: Delivering Most-Favored-Nation Prescription Drug Pricing to American Patients,agency_guidance,federal,in_effect,Drug Pricing & Pharma,2025-05-12,https://www.whitehouse.gov/presidential-actions/2025/05/delivering-most-favored-nation-prescription-drug-pricing-to-american-patients/,"Directs HHS/CMS to set most-favored-nation price targets for manufacturers and threatens rulemaking, drug importation waivers, and antitrust enforcement if voluntary compliance falls short. Has since produced individual manufacturer pricing agreements (starting September 2025) and proposed CMS payment models (GLOBE for Part B, GUARD for Part D) rather than one binding rule.",Primary driver of 2025-2026 federal drug-pricing activity; underlying framework for the manufacturer deals and forthcoming GLOBE/GUARD models.
2026-07-14,"Consolidated Appropriations Act, 2026 — PBM Reform Provisions (H.R. 7148)",enacted_statute,federal,enacted,Drug Pricing & Pharma;Coverage & Insurance Markets,2026-02-03,https://www.congress.gov/bill/119th-congress/house-bill/7148,"Signed into law February 3, 2026. Requires PBMs to remit 100% of manufacturer rebates and fees to ERISA plans, mandates semiannual spread-pricing and rebate transparency reports to employer plans, shifts Medicare Part D PBM compensation to flat bona-fide service fees, and (from 2028) requires an ""any willing pharmacy"" network standard. Provisions phase in over several years.",First major enacted federal PBM transparency and delinking law; a structural change to drug-pricing intermediaries.
2026-07-14,American Hospital Association v. Kennedy — 340B Rebate Model Pilot Vacated,court_decision,federal,struck_down,Drug Pricing & Pharma;Litigation,2026-02-10,https://www.courtlistener.com/docket/71979116/american-hospital-association-v-kennedy/,"The U.S. District Court for the District of Maine preliminarily enjoined (December 29, 2025) and then vacated and remanded to HRSA (February 10, 2026) the agency's 340B Rebate Model Pilot Program, which would have let manufacturers issue 340B discounts as after-the-fact rebates instead of upfront ceiling-price discounts. HRSA must restart via notice-and-comment to pursue a rebate model.","Preserves the current upfront-discount 340B structure for now; HRSA has since opened a new RFI (comment period closed April 20, 2026) signaling another attempt is likely."
2026-07-14,Hospital Price Transparency Rule (45 CFR Part 180) — 2024 Standardization Amendments,final_rule,federal,in_effect,Price Transparency & Billing,2024-01-01,https://www.cms.gov/newsroom/fact-sheets/hospital-price-transparency-fact-sheet,"Finalized November 2023, effective January 1, 2024. Requires hospitals to post standard charges, including negotiated rates, cash prices, and payer-specific amounts, in a CMS-standardized machine-readable file format, with a homepage footer link and a required .txt file for automated discovery. Builds on the original 2019 hospital price transparency rule, effective 2021.",Core federal price-transparency mandate for hospitals; baseline against which later enforcement and format updates should be tracked.
2026-07-14,CY 2026 OPPS/ASC Final Rule — Hospital Price Transparency Enforcement & Data Updates,final_rule,federal,in_effect,Price Transparency & Billing,2026-04-01,https://www.federalregister.gov/documents/2025/11/25/2025-20907/medicare-program-hospital-outpatient-prospective-payment-and-ambulatory-surgical-center-payment,"Published November 25, 2025 as part of the CY2026 OPPS/ASC final rule. Requires hospitals to report a Type 2 NPI, replaces the ""Estimated Allowed Amount"" field with four allowed-amount data points (median, 10th/90th percentile, count), and revises civil monetary penalty procedures, including a 35% CMP reduction for hospitals that waive an ALJ hearing. Effective January 1, 2026; CMS delayed enforcement to April 1, 2026, which has now passed.",Most recent enforcement and format tightening of the hospital price transparency regime; likely source of near-term compliance news.
2026-07-14,Transparency in Coverage Final Rule (CMS-9915-F),final_rule,federal,in_effect,Price Transparency & Billing;Coverage & Insurance Markets,2022-07-01,https://www.cms.gov/newsroom/fact-sheets/transparency-coverage-final-rule-fact-sheet-cms-9915-f,"Requires most group health plans and issuers to publicly post machine-readable files disclosing in-network negotiated rates and historical out-of-network allowed amounts, plus (from 2023) an internet self-service price comparison tool for consumers. In-network/out-of-network machine-readable files became required July 1, 2022; the companion prescription-drug pricing file requirement remains deferred under enforcement discretion.","Payer-side counterpart to the hospital price transparency rule; DOL/HHS/IRS proposed accuracy-focused updates in December 2025 (comment period closed March 2, 2026) worth a follow-up row once finalized."
2026-07-14,One Big Beautiful Bill Act — ACA Marketplace & Individual Market Provisions (P.L. 119-21),enacted_statute,federal,enacted,Coverage & Insurance Markets,2025-07-04,https://www.congress.gov/bill/119th-congress/house-bill/1/text/en,"Signed July 4, 2025. Ends Marketplace subsidy eligibility for lawfully present immigrants in their first five years in the U.S. (effective January 1, 2026), terminates continuous income-based special enrollment periods, removes premium tax credit repayment caps, and shortens open enrollment windows. Enacted through budget reconciliation alongside sweeping Medicaid changes in the same law.",Largest enacted change to ACA marketplace eligibility and enrollment rules since the ACA itself; a direct input for coverage-simulation baselines.
2026-07-14,Expiration of ACA Enhanced Premium Tax Credits (ARPA/IRA Sunset),enacted_statute,federal,superseded,Coverage & Insurance Markets,2026-01-01,https://www.congress.gov/crs-product/R48290,The enhanced premium tax credits first enacted by the American Rescue Plan Act (2021) and extended through 2025 by the Inflation Reduction Act (2022) lapsed automatically at the start of 2026 after a Senate extension bill (S.3385) failed to reach 60 votes and a competing House discharge-petition bill remained unresolved as of mid-2026. Marketplace enrollees now face pre-2021 subsidy formulas.,"Major, already-effective affordability shock to ACA marketplace consumers; central input for coverage and uninsured-rate modeling."
2026-07-14,One Big Beautiful Bill Act — Medicaid Provisions (P.L. 119-21),enacted_statute,federal,enacted,Public Programs,2025-07-04,https://www.congress.gov/bill/119th-congress/house-bill/1/text/en,"Signed July 4, 2025. Establishes Medicaid community engagement (work) requirements for expansion adults ages 19-64, mandates more frequent eligibility redeterminations, tightens provider-tax and state-directed-payment financing tools, and narrows immigration-status eligibility. Effective dates are staggered through 2027-2028.",Largest enacted change to Medicaid financing and eligibility rules in over a decade; primary statutory driver of projected Medicaid coverage losses.
2026-07-14,CMS Interim Final Rule — Medicaid Community Engagement (Work) Requirement (CMS-2454-IFC),final_rule,federal,final,Public Programs,2026-07-31,https://www.federalregister.gov/documents/2026/06/03/2026-11094/medicaid-program-community-engagement-requirement-for-certain-individuals,"Implements OBBBA's Medicaid work-requirement provision under Social Security Act section 1902(xx). Requires non-pregnant adults ages 19-64 in the Medicaid adult group (or applicable Section 1115 demonstrations) to complete 80 hours/month of work, education, training, or community service, or meet an earnings-based equivalent, unless exempt (pregnancy, disability, medical frailty, caregiving, short-term hardship). States must implement by January 1, 2027; the rule itself takes effect July 31, 2026.",Operational implementing regulation states must follow; defines the exemption categories and compliance mechanics needed to model coverage-loss scenarios.
2026-07-14,CY 2026 Medicare Physician Fee Schedule Final Rule (CMS-1832-F),final_rule,federal,in_effect,Provider Payment & Value-Based Care,2026-01-01,https://www.federalregister.gov/documents/2025/11/05/2025-19787/medicare-and-medicaid-programs-cy-2026-payment-policies-under-the-physician-fee-schedule-and-other,"Published November 5, 2025, effective January 1, 2026. Implements MACRA's statutorily required separate conversion factors for Advanced Alternative Payment Model (APM) participants versus non-APM clinicians, keeps the MIPS performance threshold at 75 points through the 2028 performance period, and launches the mandatory Ambulatory Specialty Model, a MIPS Value Pathway-based program covering heart failure and low back pain with payment adjustments that widen over time.",Core annual determinant of Medicare physician payment and the newest mandatory value-based/site-neutral-style payment model.
2026-07-14,FDA Final Guidance — Predetermined Change Control Plans for AI-Enabled Device Software Functions,agency_guidance,federal,in_effect,"Health IT, Privacy & AI",2024-12-03,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/marketing-submission-recommendations-predetermined-change-control-plan-artificial-intelligence,"Establishes FDA's recommended framework letting manufacturers pre-specify planned AI/ML modifications in a marketing submission (a Predetermined Change Control Plan), so later approved algorithm updates do not require new 510(k), De Novo, or PMA submissions. Applies to all AI-enabled device software functions, not only machine-learning-based ones.","Foundational current framework for how adaptive, learning-capable AI medical devices are regulated after initial clearance."
2026-07-14,FDA Final Guidance — Cybersecurity in Medical Devices (QMSR-Aligned),agency_guidance,federal,in_effect,"Health IT, Privacy & AI",2026-02-03,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cybersecurity-medical-devices-quality-management-system-considerations-and-content-premarket,"Issued February 3, 2026, superseding the June 2025 version. Updates premarket cybersecurity submission recommendations (secure product development framework, threat modeling, software bill of materials, penetration testing) to align with the new Quality Management System Regulation, which replaced the old Quality System Regulation (21 CFR 820) with ISO 13485:2016 effective February 2, 2026. Core technical expectations are unchanged from 2025.","Governs cybersecurity documentation for all connected and software-driven medical devices, an increasing share of which incorporate AI."
2026-07-14,"ASTP/ONC HTI-4 Final Rule — E-Prescribing, Real-Time Prescription Benefit & Electronic Prior Authorization",final_rule,federal,in_effect,"Health IT, Privacy & AI",2025-10-01,https://healthit.gov/regulations/hti-rules/hti-4-final-rule/,"Finalizes new and updated health IT certification criteria for electronic prior authorization, electronic prescribing, and real-time prescription benefit information, plus related API standards, as part of the FY2026 CMS Hospital Inpatient Prospective Payment System final rule (CMS-1833-F). Effective October 1, 2025.",Latest binding interoperability and certification standard shaping EHR-to-payer data exchange infrastructure.
2026-07-14,ASTP/ONC Deregulatory Actions & Withdrawal of HTI-2 Patient Engagement/Public Health Interoperability Rule,final_rule,federal,in_effect,"Health IT, Privacy & AI",2025-12-29,https://www.federalregister.gov/documents/2025/12/29/2025-23896/health-data-technology-and-interoperability-astponc-deregulatory-actions-to-unleash-prosperity,"Published December 29, 2025. Formally withdraws the pending HTI-2 ""Patient Engagement, Information Sharing, and Public Health Interoperability"" proposed rule from the prior administration and finalizes a companion deregulatory rule narrowing certain health IT certification and information-blocking provisions.",Marks a policy reversal in federal health IT regulation; important for tracking regulatory direction and the resulting compliance uncertainty ASTP/ONC's later HTI-5 proposal is meant to address.
2026-07-14,Mental Health Parity and Addiction Equity Act — 2024 Final Rule (Non-Enforcement Status),final_rule,federal,final,Behavioral & Mental Health;Coverage & Insurance Markets,2024-09-23,https://www.dol.gov/agencies/ebsa/laws-and-regulations/laws/mental-health-parity/statement-regarding-enforcement-of-the-final-rule-on-requirements-related-to-mhpaea,"The 2024 MHPAEA final rule, requiring group health plans to show ""meaningful benefits"" for mental health/substance use disorder care and to conduct comparative analyses of nonquantitative treatment limitations, was challenged by the ERISA Industry Committee in January 2025 in D.D.C. Following a May 12, 2025 litigation stay, DOL, HHS, and Treasury announced on May 15, 2025 that they will not enforce the 2024 rule pending the litigation's outcome, plus an additional 18 months after any final decision.","The rule remains technically ""final"" but is functionally non-operative — an important distinction for any parity-compliance modeling."
2026-07-14,988 Suicide & Crisis Lifeline — FY2026 Administrator Funding Award,agency_guidance,federal,in_effect,Behavioral & Mental Health,2026-05-15,https://www.hhs.gov/press-room/samhsa-awards-255-million-to-administer-988-lifeline.html,"SAMHSA awarded $255 million to Vibrant Emotional Health to continue administering the 988 Suicide & Crisis Lifeline for FY2026, following a roughly $231 million FY2026 funding opportunity announcement. The award followed a contested administration budget proposal that would have eliminated specialized LGBTQ+ youth crisis-service funding after September 30, 2025.",988 is the primary federal behavioral-health crisis infrastructure; funding continuity directly affects crisis-system capacity assumptions.
2026-07-14,Idaho v. United States / Moyle v. United States — EMTALA Emergency Abortion Case Dismissed,court_decision,federal,superseded,Reproductive & Family Health;Litigation,2025-03-05,https://litigationtracker.law.georgetown.edu/litigation/united-states-v-state-of-idaho-2/,"The Supreme Court dismissed its June 2024 grant of certiorari as improvidently granted, returning the case to the Ninth Circuit. In March 2025 the Trump administration's DOJ voluntarily dismissed the government's suit against Idaho, nullifying the prior statewide injunction that had required Idaho hospitals to permit EMTALA-based emergency abortions notwithstanding Idaho's near-total abortion ban.","Leaves most Idaho providers, and by extension providers in other states with strict abortion bans, without a clear federal EMTALA backstop for emergency abortion care; a bellwether for EMTALA/state-abortion-law conflicts nationally."
2026-07-14,"St. Luke's Health System v. Labrador — EMTALA Preliminary Injunction (Idaho, Narrow Scope)",court_decision,federal,in_effect,Reproductive & Family Health;Litigation,2025-03-20,https://www.courtlistener.com/docket/69543248/st-lukes-health-system-ltd-v-labrador/,"Following dissolution of the broader Idaho v. United States injunction, a federal district court in a separate suit preserved an EMTALA-based exception to Idaho's criminal abortion ban, but limited the injunction's scope to St. Luke's Health System hospitals and physicians only. Case remains active before Senior Judge B. Lynn Winmill as of April 2026.",Illustrates the current provider-by-provider patchwork resolving EMTALA/abortion-ban conflicts rather than a uniform national rule.
2026-07-14,Public Health Service Act §319 — Public Health Emergency Declaration Authority,enacted_statute,federal,in_effect,Public Health Authority & Emergency Preparedness,2006-12-19,https://www.congress.gov/crs-product/IF12683,"Section 319 of the Public Health Service Act (42 U.S.C. §247d), originally enacted in 1944 and substantially restructured by the Pandemic and All-Hazards Preparedness Act of 2006 (P.L. 109-417), gives the HHS Secretary authority to declare a public health emergency, unlocking emergency funding, liability protections, and related regulatory flexibilities such as FDA Emergency Use Authorization. This standing authority was used for COVID-19, mpox, and other recent declarations and remains in effect independent of PAHPA's currently lapsed programmatic reauthorization.","Foundational baseline authority for any pandemic or emergency-response simulation scenario, distinct from the (currently lapsed) PAHPA program funding."
2026-07-14,"Pandemic and All-Hazards Preparedness Act (PAHPA) — Reauthorization Lapsed, Programs Running on Continuing Resolutions",enacted_statute,federal,superseded,Public Health Authority & Emergency Preparedness,2023-12-31,https://www.astho.org/communications/blog/2026/future-of-pahpa-and-national-public-health-preparedness/,"PAHPA's most recent reauthorization (2019) expired at the end of 2023. Congress has kept most PAHPA programs, including the Hospital Preparedness Program, Strategic National Stockpile authorities, and BARDA, funded only through short-term continuing-resolution extensions rather than a full multi-year reauthorization. A bipartisan reauthorization effort led by Reps. Neal Dunn and Lori Trahan opened a stakeholder request for information in early 2026, with bill text expected later in the year.","Key structural vulnerability: U.S. pandemic-preparedness infrastructure currently lacks stable multi-year statutory authorization, a material input for emergency-preparedness simulation."
2026-07-14,Conrad State 30 and Physician Access Reauthorization Act (S.709 / H.R.1585) — Program Lapsed Pending Reauthorization,bill,federal,pending,Workforce & Scope of Practice;Rural & Underserved Access,2025-10-01,https://www.congress.gov/bill/119th-congress/senate-bill/709,"The Conrad 30 program lets each state waive the two-year home-residency requirement for up to 30 J-1 foreign medical graduates per year who commit to three years of service in a Health Professional Shortage Area or Medically Underserved Area. The waiver lapsed for new J-1 entrants as of October 1, 2025 amid a federal government shutdown. S.709/H.R.1585 would reauthorize the program and let high-demand states increase waivers from 30 to up to 35 per year, but had not passed as of mid-2026.",Directly affects the physician pipeline into rural and underserved areas; an unresolved gap worth tracking for workforce-supply modeling.
2026-07-14,CMS Repeal of Nursing Home Minimum Staffing Standards,final_rule,federal,in_effect,Long-Term Care & Aging,2026-02-02,https://www.federalregister.gov/documents/2025/12/03/2025-21792/medicare-and-medicaid-programs-repeal-of-minimum-staffing-standards-for-long-term-care-facilities,"CMS rescinded the 2024 rule's numerical minimum staffing requirements (0.55 RN and 2.45 nurse-aide hours per resident day, 3.48 total, plus 24/7 onsite RN coverage), citing Congress's postponement of the requirements' implementation to 2035 and a Northern District of Iowa ruling that vacated them as exceeding CMS's statutory authority. Enhanced facility-assessment and Medicaid staffing-spending disclosure requirements from the 2024 rule remain in place.",Reverses the single largest federal nursing-home quality mandate of the past decade; a central input for long-term-care staffing and quality simulation.
2026-07-14,Rural Health Transformation (RHT) Program (One Big Beautiful Bill Act),enacted_statute,federal,in_effect,Rural & Underserved Access,2026-01-01,https://www.cms.gov/newsroom/press-releases/cms-launches-landmark-50-billion-rural-health-transformation-program,"Created by the One Big Beautiful Bill Act (P.L. 119-21), RHT provides $50 billion over five years, $10 billion per year from 2026 through 2030, to states for rural health system strengthening. Half of each year's funding is distributed equally across all approved states; half is awarded competitively based on rurality metrics, existing rural health system conditions, and proposed state initiatives. CMS announced first-year awards to all 50 states in early 2026, averaging roughly $200 million per state.","Largest-ever dedicated federal rural health funding stream; a major offsetting input against OBBBA's Medicaid cuts to rural providers, and central to rural-hospital-solvency modeling."
2026-07-14,FTC Vacatur of the 2024 Noncompete Ban Rule,final_rule,federal,superseded,Market Structure & Antitrust;Workforce & Scope of Practice,2025-09-05,https://www.aha.org/news/headline/2025-09-08-ftc-vacates-noncompete-rule-previous-administration,"The FTC voted 3-1 on September 5, 2025 to vacate its own 2024 rule that would have banned most employer noncompete agreements nationwide, including in healthcare. The Commission signaled it will instead pursue noncompetes case-by-case under traditional antitrust and unfair-competition enforcement, and on September 10, 2025 sent letters to large healthcare employers urging review of existing noncompete agreements.","Directly affects physician and clinician labor-market mobility assumptions, especially in hospital-system and staffing-agency consolidation scenarios."
2026-07-14,FTC Final Rule — Hart-Scott-Rodino Premerger Notification Overhaul,final_rule,federal,in_effect,Market Structure & Antitrust,2025-02-10,https://www.federalregister.gov/documents/2024/11/12/2024-25024/premerger-notification-reporting-and-waiting-period-requirements,"Published November 12, 2024 and effective February 10, 2025, this is the most sweeping revision to HSR premerger notification filing requirements in decades. It requires substantially more transaction detail, including separate forms for acquiring and acquired parties, and was explicitly framed by then-Chair Lina Khan as targeting private-equity roll-up strategies in industries including healthcare.","Increases pre-closing disclosure burden and antitrust-review lead time for hospital, physician-group, and other healthcare consolidation deals; relevant to market-structure simulation."
2026-07-14,Senator Elizabeth Dole 21st Century Veterans Healthcare and Benefits Improvement Act — Community Care Referral Streamlining,enacted_statute,federal,in_effect,Veterans & Military Health,2025-01-02,https://www.congress.gov/bill/118th-congress/house-bill/8371,"Signed January 2, 2025 (H.R.8371, 118th Congress), described as the largest expansion of VA services since the PACT Act, with provisions spanning health care, caregiver support, and other veterans' benefits. Among its health care provisions, VA implemented streamlined ""best medical interest"" community-care referral determinations as of May 2025, removing a secondary review step and giving veterans faster access to non-VA MISSION Act community care.","Speeds veteran access to community care, a channel that now delivers roughly 40% of all VA-funded health care."
2026-07-14,FY2026 National Defense Authorization Act (P.L. 119-60) — Tricare Provisions,enacted_statute,federal,enacted,Veterans & Military Health,2025-12-18,https://www.congress.gov/bill/119th-congress/senate-bill/1071,"Signed December 18, 2025. Reduces the distance threshold triggering the Tricare Prime Travel Benefit (reimbursement for specialty-care travel costs) from 100 to 75 miles for active-duty members and families, extends a halt on military medical billet cuts, requires new Joint Chiefs endorsement before restructuring military treatment facilities, and directs increased cross-credentialing of VA and military-treatment-facility providers. Limits Tricare IVF coverage to service-connected infertility rather than covering all service members.",Directly affects access-to-specialty-care and benefit-scope assumptions for the roughly 9.6 million Tricare beneficiaries.
